Financial Instrument,Coupon,Maturity,Ratings,Issuer Debt/Equity,Issue Date,Time-To-Maturity (TTM),Payment Frequency,Ask,Ask Yield,Duration %  ,Convexity,Bid
BMW CORP CD 05580AM84,2.7,Apr22'25,,,Apr 22 '22,0.75,Semi-Annual,98.488,4.7839,0.7425862550735474,0.005547535,98.162
UBS CORP CD 90355GBX3,4.8,Mar03'25,,,Mar 01 '23,0.61,Monthly,100.09,4.6559,0.6794790029525757,0.004671613,99.661
BECB CORP CD 11815SDR8,5.1,May08'25,,,May 08 '24,0.79,Monthly,100.091,4.982,0.7781572341918945,0.006135852,99.939
ISVNBP CORP CD 45780PBY0,5.45,Nov20'24,,,Nov 20 '23,0.33,Monthly,100.076,5.214,0.32445892691612244,0.001057071,99.922
IDBNY CORP CD 465076UD7,4.85,Nov25'24,,,Nov 25 '22,0.34,Semi-Annual,99.886,5.15,0.34246575832366943,0.001172828,99.716
MS CORP CD 61768EP56,4.65,Aug07'25,,,Feb 07 '24,1.04,Semi-Annual,99.976,4.678,1.0072375535964966,0.010416931472718716,99.557
GS CORP CD 38149M6W8,3,May12'25,,,May 11 '22,0.8,Semi-Annual,98.4,5.05,1.4581600427627563,0.021765299141407013,98.314
MS CORP CD 61690U2D1,4.9,Sep03'24,,,Mar 02 '23,0.11,Semi-Annual,99.941,5.325,0.600363553,0.003662758,99.786
MS CORP CD 61768EA45,5.35,Oct14'25,,,Oct 11 '23,1.23,Semi-Annual,100.751,4.6996,1.6428653001785278,0.027827529,100.336
MS CORP CD 61690U4D9,4.65,Apr14'25,,,Apr 13 '23,0.73,Semi-Annual,99.702,5.053,1.1908140182495117,0.014451907016336918,99.572
WFC CORP CD 949764AF1,5.25,Mar17'25,,,Mar 17 '23,0.65,Monthly,100.119,5.062,0.6417593359947205,0.004159593,99.969
WFC CORP CD 949764FJ8,5.25,Mar06'25,,,Sep 06 '23,0.62,Monthly,100.21,4.91,0.6116238236427307,0.003781873,99.952
COF CORP CD 14042RVJ7,4.85,Nov12'24,,,Nov 09 '22,0.31,Semi-Annual,99.819,5.366700000000001,0.7867887020111084,0.00624817,99.714
OZK CORP CD 06418CUP9,5.25,Sep17'24,NoMD,1.959082145289126,May 17 '24,0.15,Monthly,99.992,5.301,0.1514633446931839,0.00022971,99.837
WFC CORP CD 9497636R2,4.55,Feb24'25,,,Feb 23 '23,0.59,Monthly,99.686,5.0920000000000005,0.6554087996482849,0.004347662,99.55
WFC CORP CD 9497634Z6,4.5,Dec30'24,,,Dec 30 '22,0.44,Monthly,99.697,5.206,0.43118640780448914,0.001873261,99.547
BACR CORP CD 06740KPY7,2.85,May05'25,,,May 04 '22,0.78,Semi-Annual,98.358,5.007000000000001,1.4603099822998047,0.021804800257086754,98.208
FBKCHI CORP CD 319141JT5,2.65,Dec06'24,,,Dec 06 '17,0.37,Semi-Annual,99.056,5.2330000000000005,0.3726027309894562,0.001388328,98.916
MS CORP CD 61690U2C3,4.75,Mar03'25,,,Mar 02 '23,0.61,Semi-Annual,99.969,4.7939,1.4560799598693848,0.0219597,99.618
FDBKOH CORP CD 32020UAB8,4.65,Mar03'25,,,Mar 01 '23,0.61,Monthly,99.695,5.166300000000001,0.604515016,0.003690995,99.589
DFS CORP CD 254673L61,3.25,Jul14'25,,,Jul 12 '22,0.97,Semi-Annual,98.445,4.904,1.4499706029891968,0.021218972,98.295
BMW CORP CD 05580AU69,4.45,Feb10'25,,,Feb 10 '23,0.55,Semi-Annual,99.611,5.166,0.5383909940719604,0.002952076,99.512
SOV CORP CD 80280JWP2,5.4,Nov15'24,,,Nov 17 '23,0.31,Principal at Maturity,99.987,5.248,0.31506848335266113,0.00099268,99.845
PNFP CORP CD 72345SLM1,4.8,May08'25,,,May 08 '23,0.79,Semi-Annual,99.853,4.973,0.7841688394546509,0.006206441,99.703
WFC CORP CD 9497636Z4,4.85,Sep09'24,,,Mar 08 '23,0.13,Monthly,100.265,2.6648,0.20949751138687134,0.00044028,99.786
MS CORP CD 61690UNB2,1.95,Nov07'24,,,Nov 07 '19,0.29,Semi-Annual,99.03,5.2918,0.2931506931781769,0.00085937,98.896
SECBK CORP CD 81425PBK6,5.25,Oct20'25,NoMD,NoMD,Oct 20 '23,1.24,Semi-Annual,NoMD,NoMD,NoMD,NoMD,NoMD
MS CORP CD 61690U3T5,4.9,Apr07'25,,,Apr 06 '23,0.71,Semi-Annual,99.861,5.081,1.1699068546295166,0.013971629552543163,99.723
MS CORP CD 61690U6M7,5.05,Nov25'24,,,May 24 '23,0.34,Semi-Annual,99.95,5.156000000000001,0.8274179697036743,0.00690623,99.765
CMA CORP CD 200339FB0,5.25,Sep30'24,NoMD,NoMD,Mar 30 '23,0.19,Semi-Annual,99.976,5.293,NoMD,NoMD,99.827
WFC CORP CD 949763T30,1.95,Jan29'25,,,Jan 29 '20,0.52,Monthly,98.387,5.12,0.513573945,0.002647867,98.254
MS CORP CD 61768EPS6,4.9,Sep03'24,,,Mar 02 '23,0.11,Semi-Annual,100.105,3.7393,0.6003713607788086,0.003662815,99.786
MS CORP CD 61768EPN7,4.75,Aug23'24,,,Feb 23 '23,0.08,Semi-Annual,100.251,1.7366000000000001,0.084931508,0.00007213,99.797
MS CORP CD 61690U3Q1,5,Mar31'25,,,Mar 30 '23,0.69,Semi-Annual,99.95,5.053,1.4307899475097656,0.021264501,99.811
MS CORP CD 61768EME0,4.35,Oct07'24,,,Oct 06 '22,0.21,Semi-Annual,99.787,5.332,0.6948224306106567,0.004879931,99.637
PROFBK CORP CD 923450DS6,4.5,Feb13'25,,,Feb 13 '23,0.56,Monthly,99.853,4.7206,0.5510261654853821,0.003059428,99.516
AXP CORP CD 02589AE99,4.65,Oct27'25,,,Oct 26 '22,1.26,Semi-Annual,99.777,4.8237000000000005,1.6932073831558228,0.029411524534225464,99.575
CM CORP CD 12547CBE7,4.85,Oct25'24,,,Apr 27 '23,0.26,Semi-Annual,100.001,4.8673,0.2575342357158661,0.00066324,99.734
COF CORP CD 14042TES2,2.1,Mar24'25,,,Mar 23 '22,0.67,Semi-Annual,98.098,5.027,1.4710999727249146,0.0220025,97.92
MS CORP CD 61768ERC9,5,Mar31'25,,,Mar 30 '23,0.69,Semi-Annual,99.985,5.0113,1.430799961090088,0.021264800801873207,99.811
AXP CORP CD 02589ADU3,3.3,Sep03'24,,,Aug 31 '22,0.11,Semi-Annual,99.762,5.361000000000001,0.5987158417701721,0.003624612,99.619
BELCRU CORP CD 07833EAM9,5.15,Feb24'25,,,Feb 24 '23,0.59,Monthly,100.052,5.0600000000000005,0.5761763453483582,0.003360164,99.556
DFS CORP CD 2546733J3,5.05,Mar28'25,,,Mar 29 '23,0.68,Semi-Annual,99.998,5.031000000000001,0.6739891767501831,0.004602659,99.848
WFC CORP CD 949764LV4,4.75,Aug13'25,,,Feb 13 '24,1.06,Monthly,99.858,4.888,1.0322725772857666,0.010825675,99.705
